Mary	F	7065	1880
Anna	F	2604	1880
Emma	F	2003	1880
Elizabeth	F	1939	1880
Minnie	F	1746	1880
Margaret	F	1578	1880
Ida	F	1472	1880
Alice	F	1414	1880
Bertha	F	1320	1880
Sarah	F	1288	1880
John	M	9655	1880
William	M	9532	1880
James	M	5927	1880
Charles	M	5348	1880
George	M	5126	1880
Frank	M	3242	1880
Joseph	M	2632	1880
Thomas	M	2534	1880
Henry	M	2444	1880
Robert	M	2415	1880
Mary	F	6919	1881
Anna	F	2698	1881
Emma	F	2034	1881
Elizabeth	F	1852	1881
Margaret	F	1658	1881
Minnie	F	1653	1881
Ida	F	1439	1881
Annie	F	1326	1881
Bertha	F	1324	1881
Alice	F	1308	1881
John	M	8769	1881
William	M	8524	1881
James	M	5441	1881
George	M	4664	1881
Charles	M	4636	1881
Frank	M	2834	1881
Joseph	M	2456	1881
Henry	M	2339	1881
Thomas	M	2282	1881
Edward	M	2177	1881
Mary	F	8148	1882
Anna	F	3143	1882
Emma	F	2303	1882
Elizabeth	F	2186	1882
Minnie	F	2004	1882
Margaret	F	1821	1882
Ida	F	1673	1882
Alice	F	1542	1882
Bertha	F	1508	1882
Annie	F	1492	1882
John	M	9557	1882
William	M	9298	1882
James	M	5892	1882
George	M	5193	1882
Charles	M	5091	1882
Frank	M	3176	1882
Joseph	M	2670	1882
Thomas	M	2610	1882
Henry	M	2579	1882
Robert	M	2500	1882
Mary	F	8012	1883
Anna	F	3306	1883
Emma	F	2367	1883
Elizabeth	F	2255	1883
Minnie	F	2035	1883
Margaret	F	1881	1883
Bertha	F	1681	1883
Ida	F	1634	1883
Annie	F	1589	1883
Clara	F	1548	1883
John	M	8894	1883
William	M	8387	1883
James	M	5223	1883
Charles	M	4826	1883
George	M	4736	1883
Frank	M	2986	1883
Joseph	M	2515	1883
Henry	M	2383	1883
Robert	M	2334	1883
Thomas	M	2316	1883
Mary	F	9217	1884
Anna	F	3860	1884
Emma	F	2587	1884
Elizabeth	F	2549	1884
Minnie	F	2243	1884
Margaret	F	2142	1884
Ida	F	1882	1884
Clara	F	1852	1884
Bertha	F	1789	1884
Annie	F	1739	1884
John	M	9388	1884
William	M	8897	1884
James	M	5693	1884
George	M	4961	1884
Charles	M	4802	1884
Frank	M	3218	1884
Joseph	M	2707	1884
Thomas	M	2572	1884
Henry	M	2474	1884
Robert	M	2468	1884
Mary	F	9128	1885
Anna	F	3994	1885
Emma	F	2728	1885
Elizabeth	F	2582	1885
Margaret	F	2204	1885
Minnie	F	2178	1885
Clara	F	1910	1885
Bertha	F	1860	1885
Ida	F	1854	1885
Annie	F	1703	1885
John	M	8756	1885
William	M	8044	1885
James	M	5175	1885
George	M	4674	1885
Charles	M	4599	1885
Frank	M	3067	1885
Joseph	M	2540	1885
Henry	M	2406	1885
Robert	M	2322	1885
Thomas	M	2266	1885
Mary	F	9889	1886
Anna	F	4283	1886
Emma	F	2764	1886
Elizabeth	F	2680	1886
Minnie	F	2372	1886
Margaret	F	2275	1886
Ida	F	2049	1886
Bertha	F	2001	1886
Clara	F	1916	1886
Florence	F	1860	1886
John	M	9026	1886
William	M	8252	1886
James	M	5355	1886
George	M	4671	1886
Charles	M	4533	1886
Frank	M	3127	1886
Joseph	M	2594	1886
Robert	M	2443	1886
Henry	M	2404	1886
Thomas	M	2337	1886
Mary	F	9888	1887
Anna	F	4227	1887
Elizabeth	F	2681	1887
Emma	F	2647	1887
Margaret	F	2419	1887
Minnie	F	2215	1887
Bertha	F	2037	1887
Clara	F	1984	1887
Florence	F	1964	1887
Ida	F	1929	1887
John	M	8110	1887
William	M	7470	1887
James	M	4768	1887
George	M	4284	1887
Charles	M	4031	1887
Frank	M	2883	1887
Joseph	M	2456	1887
Henry	M	2228	1887
Thomas	M	2151	1887
Edward	M	2125	1887
Mary	F	11754	1888
Anna	F	4982	1888
Elizabeth	F	3224	1888
Emma	F	3087	1888
Margaret	F	2904	1888
Minnie	F	2654	1888
Bertha	F	2450	1888
Florence	F	2444	1888
Ethel	F	2374	1888
Bessie	F	2278	1888
John	M	9247	1888
William	M	8705	1888
James	M	5562	1888
George	M	4912	1888
Charles	M	4591	1888
Frank	M	3459	1888
Joseph	M	2993	1888
Robert	M	2814	1888
Harry	M	2759	1888
Henry	M	2596	1888
Mary	F	11648	1889
Anna	F	5062	1889
Elizabeth	F	3058	1889
Margaret	F	2917	1889
Emma	F	2884	1889
Minnie	F	2624	1889
Florence	F	2465	1889
Ethel	F	2463	1889
Bessie	F	2343	1889
Clara	F	2319	1889
John	M	8548	1889
William	M	7772	1889
James	M	5020	1889
George	M	4430	1889
Charles	M	4199	1889
Frank	M	2975	1889
Joseph	M	2729	1889
Harry	M	2559	1889
Robert	M	2513	1889
Edward	M	2299	1889
Mary	F	12078	1890
Anna	F	5233	1890
Elizabeth	F	3112	1890
Margaret	F	3100	1890
Emma	F	2980	1890
Florence	F	2744	1890
Ethel	F	2718	1890
Minnie	F	2650	1890
Clara	F	2496	1890
Bertha	F	2388	1890
John	M	8502	1890
William	M	7494	1890
James	M	5097	1890
George	M	4458	1890
Charles	M	4061	1890
Frank	M	3078	1890
Joseph	M	2670	1890
Robert	M	2541	1890
Henry	M	2349	1890
Harry	M	2345	1890
Mary	F	11703	1891
Anna	F	5099	1891
Margaret	F	3065	1891
Elizabeth	F	3059	1891
Emma	F	2884	1891
Florence	F	2715	1891
Ethel	F	2689	1891
Minnie	F	2428	1891
Helen	F	2417	1891
Bertha	F	2372	1891
John	M	7680	1891
William	M	6763	1891
James	M	4516	1891
George	M	3931	1891
Charles	M	3640	1891
Frank	M	2652	1891
Joseph	M	2572	1891
Robert	M	2240	1891
Harry	M	2132	1891
Henry	M	2049	1891
Mary	F	13172	1892
Anna	F	5542	1892
Elizabeth	F	3461	1892
Margaret	F	3435	1892
Ruth	F	3290	1892
Florence	F	3154	1892
Emma	F	3128	1892
Ethel	F	3035	1892
Helen	F	2936	1892
Clara	F	2661	1892
John	M	9039	1892
William	M	7782	1892
James	M	5398	1892
